Material,Month,Total stck,Total stck_2_,Tot. usage,Tot. usage_2_
31405,3.2023,0,PC,0,PC
31405,4.2023,0,PC,0,PC
31405,5.2023,0,PC,0,PC
31405,6.2023,0,PC,0,PC
31405,7.2023,0,PC,0,PC
31405,8.2023,0,PC,0,PC
31405,9.2023,0,PC,0,PC
31405,10.2023,0,PC,0,PC
31413,1.2021,0,PC,0,PC
31413,2.2021,0,PC,0,PC
31413,3.2021,0,PC,0,PC
31413,4.2021,0,PC,0,PC
31413,5.2021,0,PC,0,PC
31413,6.2021,0,PC,0,PC
31413,7.2021,0,PC,0,PC
31413,8.2021,0,PC,0,PC
31413,9.2021,0,PC,0,PC
31413,10.2021,0,PC,0,PC
31413,11.2021,0,PC,0,PC
31413,12.2021,0,PC,0,PC
31413,1.2022,0,PC,0,PC
31413,2.2022,0,PC,0,PC
31413,3.2022,0,PC,0,PC
31413,4.2022,0,PC,0,PC
31413,5.2022,0,PC,0,PC
31413,6.2022,0,PC,0,PC
31413,7.2022,0,PC,0,PC
31413,8.2022,0,PC,0,PC
31413,9.2022,0,PC,0,PC
31413,10.2022,0,PC,0,PC
31413,11.2022,0,PC,0,PC
31413,12.2022,0,PC,0,PC
31413,1.2023,0,PC,0,PC
31413,2.2023,0,PC,0,PC
31413,3.2023,0,PC,0,PC
31413,4.2023,0,PC,0,PC
31413,5.2023,0,PC,0,PC
31413,6.2023,0,PC,0,PC
31413,7.2023,0,PC,0,PC
31413,8.2023,0,PC,0,PC
31413,9.2023,0,PC,0,PC
31413,10.2023,0,PC,0,PC
31421,1.2021,0,PC,0,PC
31421,2.2021,0,PC,0,PC
31421,3.2021,0,PC,0,PC
31421,4.2021,0,PC,0,PC
31421,5.2021,0,PC,0,PC
31421,6.2021,0,PC,0,PC
31421,7.2021,0,PC,0,PC
31421,8.2021,0,PC,0,PC
31421,9.2021,0,PC,0,PC
31421,10.2021,0,PC,0,PC
31421,11.2021,0,PC,0,PC
31421,12.2021,0,PC,0,PC
31421,1.2022,0,PC,0,PC
31421,2.2022,0,PC,0,PC
31421,3.2022,0,PC,0,PC
31421,4.2022,0,PC,0,PC
31421,5.2022,0,PC,0,PC
31421,6.2022,0,PC,0,PC
31421,7.2022,0,PC,0,PC
31421,8.2022,0,PC,0,PC
31421,9.2022,0,PC,0,PC
31421,10.2022,0,PC,0,PC
31421,11.2022,0,PC,0,PC
31421,12.2022,0,PC,0,PC
31421,1.2023,0,PC,0,PC
31421,2.2023,0,PC,0,PC
31421,3.2023,0,PC,0,PC
31421,4.2023,0,PC,0,PC
31421,5.2023,0,PC,0,PC
31421,6.2023,0,PC,0,PC
31421,7.2023,0,PC,0,PC
31421,8.2023,0,PC,0,PC
31421,9.2023,0,PC,0,PC
31421,10.2023,0,PC,0,PC
31438,1.2021,0,PC,0,PC
31438,2.2021,0,PC,0,PC
31438,3.2021,0,PC,0,PC
31438,4.2021,0,PC,0,PC
31438,5.2021,0,PC,0,PC
31438,6.2021,0,PC,0,PC
31438,7.2021,0,PC,0,PC
31438,8.2021,0,PC,0,PC
31438,9.2021,0,PC,0,PC
31438,10.2021,0,PC,0,PC
31438,11.2021,0,PC,0,PC
31438,12.2021,0,PC,0,PC
31438,1.2022,0,PC,0,PC
31438,2.2022,0,PC,0,PC
